Timestamp,Name your favorite thing to do in the snow.,Name another name for Santa.,Name a strange place to see someone dressed up as Santa.,It’s not Christmas until I watch:,Name one of Santa’s reindeer that you would like to spend time with.,Name something Santa would like for Christmas.,Name the worst present to open on Christmas day.,Name Santa’s favorite cookie.,Name Santa’s second favorite snack (after cookies and milk),Name one of Santa’s reindeer that might be called the class clown.,Name a part of Santa’s suit.,Name a word that has the word “snow” in it.,Name someone you would buy a Christmas gift for.,When do you start decorating for Christmas?,Name a song Santa might use for his ringtone.,Name a type of music Santa might listen to on Christmas night while he delivers gifts.,Name an image you might find on Christmas wrapping paper.,Name a gift from “the twelve days of Christmas.”,Name something you need for wrapping gifts.,Name something Santa might do to disguise himself.,Name the most difficult present to wrap.,Name a popular Christmas Eve tradition.,Name something on every mom’s Christmas list.,Name something you might start doing on December 1?,Name a job that might require someone to work on Christmas day.,Name a way to greet someone at Christmas.,Name something you might smell at Christmas.,How many weeks before Christmas should you send out your Christmas cards?,What is your favorite thing to do on Christmas day?,Name a place that might be open on Christmas day.,Name something that should be at every Christmas party.,Name a piece of the nativity set.,Name something you can find at the North Pole.,Name someone Santa might invite to his birthday party.,"After delivering presents on Christmas, Santa probably:",Name the hardest person to buy a Christmas present for.,Name something Santa might brag about.,Name something you might decorate at Christmas.,Name something Mrs. Claus might leave the North Pole to escape from.,Name someone who was at the first Christmas in Bethlehem.,Name a song a group of carolers might sing.,Name a popular Christmas dessert.,Name a Christmas story parents might read to their kids.,Name something that is red and white.,Name some activities you might do if you ever went on a date with Santa.,"If Santa drove his sleigh on the freeway, name something he might be pulled over for.",Name something you might leave out on Christmas Eve.,Santa wouldn’t be able to work next year if he found he was allergic to:,"If Santa was back in the dating scene, name something he would need to update.",Name something people complain about at Christmas.,Name something people do the day after Christmas.,Name a holiday song you are tired of by Christmas.,We all know the Grinch stole Christmas. Name another holiday he might want to steal.,Name something you put on the Christmas tree.,Name something Mrs. Claus might do while Santa is delivering gifts.,Name something to put in your hot chocolate.,Name a place you might hide Christmas gifts.,"If Santa caught the flu, who would deliver the Christmas gifts?",Name a candy that is mostly available at Christmas time.,It’s officially Christmas season when…
11/21/2023 11:52:48,snowboard,saint nick ,In their car ,"Santa Clause 1, 2, 3",definitely comet ,faster sleigh ,i like every gift ever ,Chocolate chip ,Hot coco,rudolph ,Hat,snowman,My mom,yesturday ,gimme more by britney spears ,margaritaville,red ,partridge in a pear tree ,tape,shave his beard ,plushy things,pj's,for their kids to be nice ,singing loud for all to hear ,irs,Merry Christmas ,ham,1 month ,squeal in excitement ,amazon ...they would,glitter,jesus,the North Pole ,kurtis ,sleeps in wayyy past 7am ,my mom,his 11 month summer vacation ,the entire house top to bottom ,reindeer poop,mary,something about hark the bells , chocolate ,the night before christmas ,candy cane ,vomit ,lack of registration ,camera to spy on santa ,bad air quality ,his wardrobe ,not getting what they wanted ,stare at a wall,blue christmas ,halloween with that outfit ,ornaments ,play with dolls ,chocolate,in a bunker,i hope bernard ,chocolate orange,it snows 
11/21/2023 12:01:18,Ski,Nicholas,Church,Die hard with Bruce Willis,Blitzen ,Caffeine,Dollar store stuff,Chocolate chip,Red Bull,Dancer,Belt,Snowball,Mom,After Thanksgiving dinner,Whistle while you work,R&B,Snow flake,Doves,Tape,Shave,Piano,Pajamas,Dad’s involvement,Making soups,Snow plower,"Happy Christmas, Harry!",Cinnamon,3,Use gifts,Wall Mart,Apple cider,Barn,Water,The sandman or Easter bunny,Sleeps,Parents,Waist size,House,Mr Claus,Mary,auld lang syne,Pie,The polar express,Candy cane,Barbecue ,License plate,Stocking stuffers,Milk and cookies,His wardrobe,Having to visit so many people. No actual relaxation. ,Sledding,Jingle bells,Halloween,Ornaments,Party with the elves,Peppermint,Grandmas house,Parents,Hard candy,You wake up
11/21/2023 12:11:47,Get out of it,Father Christmas ,church ,Christmas Vacation  ,Blitzed ,a new suit ,underwear ,Spritzers ,pretzels ,Dancer ,The belt ,Snowman ,My mom ,The day after thanksgiving ,Sleigh ride ,Classic rock ,Treees ,French hens ,Tape ,Shave his beard ,Baseball bat ,Hanging up stockings ,Sleep ,going broke ,Nurse ,Feliz Navidad ,Cinnamon ,2,Watch my kids open presents ,Gas station ,Christmas cookies ,The angel ,Elves ,The Easter Bunny ,Takes a long bath ,Dad ,His fancy sleigh ,The yard ,Reindeer ,Mary ,God Rest Ye Merry Gentlemen ,Gingerbread ,The Grinch ,Candy cane ,go sledding ,No turn signal ,Carrots ,Milk ,His profile pic ,Crowds ,Clean ,Hippopotamus song ,Halloween ,Ornaments ,Go to the spa ,Whipped cream ,In the attic ,Mrs Claus of course ,Chocolate orange ,The tree goes up 
11/21/2023 12:15:18,Ski,Chris Cringle,Jail,The Grinch,Vixen,A tropical vacation,Socks,Sugar,Chocolate ,Prancer,His black boots,Snowbasin ,My children,After Thanksgiving ,Here comes Santa Claus ,Silent Night,Snowflakes,10 drummer drumming ,"Tape, scissors, wrapping paper",Wear regular clothes ,Bike,"Reading the birth of Jesus from the Bible, go to a candle light service, set out Christmas cookies, milk and carrots(for Santa & Reindeer)",Happy Children,The twelve days of Christmas,Police officer,"Merry Christmas, season greetings","Cinnamon, orange",3-4 weeks prior,"Drink coffee, with the fireplace on and let the kids play with their toys","Gas Station, casino ",Prosecco ,Th manger,Santa’s Castle ,The Grinch,Should kick back with an old fashion ,Mother in Law,Being Jolly,"Your door, tree, ",Santa’s snoring,The three wise women/men,Silent Night,Fruit cake,The Grinch,Candy cane,Ride in a sleigh,"Speeding, littering, failure to properly secure his load, ","Leave cookies, milk & carrots or apples",Reindeer,Social media account,The commercialization ,Ski,Anything Mariah Carey,Easter,Star,"Take a bath, read a book and drink a glass of wine",Marshmallows ,"Attic, garage, under bed",Grandma,Chocolate ,Christmas Village lights up
11/21/2023 12:29:47,Snowball fight,Saint Nick,Gas ststion,Elf,Vixen,Advil,Books,Snickerdoodle ,Chocolate ,Rudolph ,Belt ,Sniwflake,Secretary,Day after thanksgiving ,,EDM,Trees,Turtle doves,Tape,Dye his hair,Clothes ,Read a story,Perfume,Buying presents,Waiter,Ho ho ho ,Pine trees,3,See family,Walmart,Booze,Donkey,Elves,Frosty,Has a drink,Dad,His reindeer,Tree,Santa,Mary,Silent night,,Night before Christmas ,Santa,Sledding,Failure to signal ,Cookies,Reindeer,His profile ,Crowds,Relax ,Mariah Carey’s song,Easter,Star,Read a book,Rum,Closet,Mrs Claus,Candy canes,Thanksgiving parade
11/21/2023 12:31:52,Sled,Saint nick,Jail,Hallmark channel ,Vixen,Book,Coal ,Sugar ,Spaghetti ,Dasher,Hat,Snowman,Child,Day after thanksgiving ,Jingle bells ,Rock and roll,Snowman ,Golden ring,Tape,Cut his beard ,Ball,Opening one present,Family time ,Elf on the shelf ,Nurse,Merry Christmas ,Peppermint ,2,See family ,Hospital ,Dessert ,Camel,Reindeer ,Elves,Sleep ,Dad,How well trained the reindeer are,Door,Chaos,Don’t know,Silver bells,Cookie ,Night before Christmas ,Candy cane ,Eat cookies ,No brake lights,Carrots ,Chimney soot ,His outfit ,Money,Shop,Jingle bells ,Halloween ,Ornaments ,Clean house ,Marshmallow ,Closets ,Mrs claus,Candy canes,It snows 
11/21/2023 12:42:48,Make Angels,Jolly Good Fella,The laundromat,My credit card go Ching Ching,Dancer,BJ,Nothing - No Present 🎁 ,Snickerdoodle,Steak,Donder,Black Belt,Snowman,You,Christmas Eve,I’m your huckleberry,Snoop Dawg,Dog,Nine Ladies Dancing,Glue,Dye Hair Black and wear a HD motorcycle 🏍️ outfit,Bicycle ,Watch Christmas Story,More time with family ,Crying because I have to shop and nobody needs anything try to find a place for the family to serve others for the Holidays ,Being a Mom,Merry Christmas ,Chili Verde,1 week,Sleep in,7-11,Giving Tree,Hay,Pole,Post Malone,Has a cocktail ,My mom,The weight he lost over the summer,My Car,Cold 🥶 burrrrrr,Donkey,Jingle Bells,fruitcake,Nightmare Before Christmas,,"Travel around the world, and Give less to the snotty kids and more to the nice kids",Having Rein Deer pulling his sleigh,Dishes ,Elf’s,His Viagra RX,It has lost its traditional values ,Shop,Umm Rock Around The Christmas Tree 🎄 ,Columbus Day,Star,Sleep,Wiskey,Luggage ,Duh Mrs. Clause,Candy canes ,12” snow on the ground 
11/21/2023 12:43:22,Stay inside,St. Nick,Pool,A Christmas Story,Dasher,Day planner,Divorce papers,Sugar,Marshmallow ,Rudolph ,Hat,Snowflake ,Familu,First week of November ,Here comes Santa Clause,Rock,Star,Dove,Tape,Shave his beard,Balls,Open PJ’s,Happiness of her children,Making candy ,Police,Hello,Trees,2 Weeks,Visit family,7-11,Family,Joseph,Snow,Easter bunny ,Sleeps,My step dad,How fast he can travel the world,Tree,Cold,Jesus,Silent night,Candy,The night before Christmas ,Christmas hat,Sleigh ride,Driving too fast,Mill,Trees,Profile picture,Price if things,Sleep,Any Mariah Carey song ,Valentine’s day,Star,Clean up,Marshmallow ,Closet,The elves,Candy canes,The tree is up
11/21/2023 12:55:51,Run,Pere Noel ,Beach,It’s a wonderful life ,,Pilot,Vacuum cleaner,,Egg nog,Blitzen,Suspenders,Snowmobile ,Baby,2 weeks before,Santa Claus is coming to town,Country,Wreath ,Calling birds ,Tape,Shave,Car,Dinner,A day off,Making Christmas list,Nurse,Hug,Cinnamon ,3,Church,Church,Mistletoe,Manger,Santa’s workshop,Rudolph,Drinks,Dad,Fast reindeer,Mantle ,Elves,Wise man,Joy to the world,Apple pie,Drummer boy,Barber pole,Sled riding,Changing lanes ,Carrot,Reindeer,Wardrobe,Crowds at the mall,Eat leftovers,Baby it’s cold outside,Easter,Angel,Take a nap,Marshmallows ,Closet ,Mrs Claus,Candy cane,
11/21/2023 13:46:08,Watch it fall,St. Nicholas,In a car,Its a wonderful life,Dancer,Beard wax,Underwear,Chocolate chip,Candy,Comet,Belt,Snowman,Child,Day after thanksgiving,Rudolph,Rock and roll,Snowflakes,5 golden rings ,Paper,Shave,Bike,Reading the bible story,Jewelry,Lose weight,Doctor,Merry Christmas ,Cookies,3,Visit family,Restaurant,Food,Mary,Ice,Easter Bunny,Naps,Teenager,Big belly,Tree,Elves,Mary,Hark the herald angels sing,Cookies,The night before christmas,Candy cane,Sledding,No windshield,Stockings,Reindeer,Wardrobe,Money ,Return gifts,Santa Baby,Easter,Tinsil,Decorate house,Marshmallows,Under the bed,Elves,Candy cane,Thanksgiving is over
11/21/2023 14:34:45,Snowball fight,Chris Kringle,Jewish synagogue ,Its a wonderful life,Rudolph,New mittons,Socks,Sugar,Peppermint sticks,Vixen,Black boots ,Snowing,My spouse,Thanksgiving weekend,Here comes santa clause,Classical music,Christmas trees,Maids a milking,Cellophane tape,Lose weight,Balls,Buying gifts,Spa day,Singing Christmas carols,Fireman,Happy hollidays,Pine trees,Two weeks,Eat dinner,Gas station,Christmas music ,Sheppard ,Elves,Elves,Sleeps,Dad,How fast his reindeer fly,Front yard,Elves,Sheep,Joy to the world,Apple pie,Little drummer boy,Stop sign,Cookie tasting,Speeding,Cookies,Milk,His clothing,Traffic,Eat leftovers,All of them ,Fourth of July,A pickle,Take a nap,Milk,My closet,Mrs clause,Candy canes,Day after Thanksgiving 
11/21/2023 15:33:47,Sled,Kris Kringle,Jail 🤪,Elf,Rudolph,New thermal underwear,Cleaning supplies,Ginger snap,Egg nog,Comet,Hat,Snowflake,Spouse,After Thanksgiving,Jingle Bells,AC/DC 🤘🏻,Santa,5 golden rings,Tape,Hide? This is a strange question haha,Ball,Christmas pajamas,A clean house,Listening to Christmas music,Waitress,Merry Christmas,Pine trees,3,Spend it with family,Denny’s ,Gifts,Baby Jesus,Elves,The Easter Bunny,Settles in for a long winter’s nap,In laws,His sleigh game ,Tree,Her husband 🤣,Shepherds,Silent Night,Pie,The Grinch,Candy cane,Ice skating,Speeding,Stockings,Reindeer fur,His Tinder account,Crowds,Sleep,Feliz Navidad,Halloween,Star,Take a bath and relax,Marshmallows,Closet,Mrs. Claus,Candy canes,It snows
11/21/2023 16:22:58,Snow angels,Kris Kringle ,The bathroom,Nightmare Before Christmas,Donner,A nap,Fruitcake,Chocolate chip,Chips,Cupid,Hat,Snowman,My kids,After thanksgiving ,Jingle bells,Rock,Santa,Five golden rings,Tape,Change clothes,Ball,Christmas pjs,Maid service,Decorate house,Paramedic,Merry Christmas!,Pine,3,Watch my kids open presents,Movie theater,Snacks,Baby Jesus,Snow,Easter bunny,Goes to bed,Mother in law,How awesome his wife is,Tree,Noisy elves,Shepherd ,We wish you a merry christmas,Fruitcake,Luke 2,Candy cane,Ride in his sleigh,No taillights,Cookies,Reindeer,His age,Family drama,Clean the house,All I want for Christmas is you,Halloween ,Ornaments,Read a book,Crushed candy cane,Closet,Mrs. Claus,Candy cane,Thanksgiving is over
11/21/2023 17:09:02,Sledding,St. Nick,Beach,It’s a wonderful life,Rudolf,New sliegh,Wear all black,Sugar cookie,Hot cocoa,Cupid ,Belt,Snowman,Mom,After Thanksgiving,Jolly old St. Nicholas,Rock,Santa,8 maids a milking,Tape,,Bike,Read the Christmas story,For her kids to be good,Decorating,Doctor,Happy Holidays,Cinnamon,2-3 weeks,Being with family,Gas station,Food,Manger,Snow,The Easter bunny,Relaxes,Mom,Sliegh,Tree,The cold,Mary,Have a Holly Jolly Christmas,Fudge,T was the night before Christmas,Bow,Ice skating,Speeding,Milk and cookies,Pine trees,His outfit,Not ready for ,Relax and rest,All I want for Christmas is you,Easter,Lights,Sleep,Candy cane,In the attic,Mrs. Claus,Candy canes,After Thanksgiving
11/21/2023 17:27:04,Walk through it to the house ,Father Christmas,Jail,White Christmas,Rudolph,An electric blanket,Underwear ,Sugar cookie,Cheese and crackers,Vixen,Belt,Snowflake,My kids,Weekend after thanksgiving ,Santa Baby,Christmas music,Cartoon characters ,5 Golden rings,Tape,Wear sunglasses,Basketball,Read Luke 2,Peace and quiet,Advent calendar,Nurse,Happy holidays!,Cookies baking,3 weeks,Be with family,Hospital,Cookies,Baby Jesus,Santa’s workshop,Mother Nature,Goes to bed,Mother in law,How many cookies he can eat.,Fireplace mantle,Reindeer droppings,Mary,We wish you a merry Christmas,Fruitcake,The Night Before Christmas,Candy canes,Drink hot chocolate and go ice skating,Not a standard vehicle,Stockings,Reindeer,His wardrobe ,Money ,Eat leftovers,Silent Night,Easter,Garland,Make dinner,Candy cane,Under the bed,Manager of the elves ,Candy canes,Thanksgiving is over
11/21/2023 17:46:11,Build a snowman,Papa Noel ,Church,The grinch,Comet,A day off,From my husband,Chic. Chip,Pie,Rudolph,Belt,Snowball ,Mom,After Thanksgiving day,Feliz navidad,Country,Reindeer,Golden ring,Wrapping paper,Wear a gurdle,Ball,Fish and perogies,Family,Bake,Gas station,Merry christmas,Cinnamon,3,Be with family,Gas station,Ugly sweater,Baby jesus,Penguins,Easter bunny,Takes a vacation,Daughter,Eating cookies ,Cookies,Wrapping presents,Jesus,The first noel,Cookie,Twas the night before christmas,Candy cane,Eat cookies and milk,Swerving,Cookies,Chimneys,Car,Traffic,Recover,Feliz navidad,Valentine's day,Star,Prepare dinner ,Marshmallows,Attic,Santa jr,Candy cane,Hallmark movies begin
11/21/2023 18:21:53,Build snowman ,Kris Kringle ,Beach ,White Christmas ,Dasher ,A foot massage ,Underwear,Sugar cookie ,MM’s ,Vixin ,Black belt ,Snowball,Husband,Dec 1,Jingle bells ,Rock and roll ,Santa ,5 gold rings ,Tape,Color his beard ,Bike,Going to church ,A spa day,Decorating the house ,Policeman ,Merry Christmas ,Pine trees ,3,Call family,Hospital,Cookies ,Baby jesus ,Reindeer ,Rudolph ,Takes a nap,Mom ,How fast his sleigh is ,Tree,Elves ,Shepherds ,We wish you a merry Christmas ,Yule log ,Twas the night before Christmas ,Candy canes ,Ice skating ,No blinker ,Cookies and milk ,Cookies ,His clothes ,Long lines ,Shopping ,Felis navida ,Valentines ,Lights ,Watch a movie ,Marshmallows ,Attic ,Mrs clause ,Candy canes ,Santa comes after Macys parade 
11/21/2023 18:31:34,Build snowmen,St Nick,Florida,Nightmare Before Christmas ,Dancer,Time off,Coal,Sugar,Hot cocoa,Blitzen ,Coat,Snowflake ,Parents,Week before Christmas ,Santa Claus is coming to town,Carols,Reindeer,Maids a milking ,Tape ,Shave ,A bike,Watch a movie,New clothes,Decorating,Soup kitchen,Merry Christmas,Pine,4,Spend time with family,Skating rink,Egg nog,Manger,Snow,Elves,Sleeps,Grinch,How fast he delivered presents ,Tree,Lists everywhere,Wise men,Jingle bells,Fig pudding,Up on the roof top,Candy Cane ,Cookie eating contest,Speeding,Carrots,Milk,,Date bread,Sleep,All I want for Christmas is you,Valentine’s Day ,Star,Sleep,Marshmallows,Under the tree,Mrs claus,Candy cane,It snows
11/21/2023 18:56:44,Snow angels,St. Nicholas,The beach ,Merry Madagascar ,Dancer,A nap,Underwear,Sugar cookie ,Cheese,Blitzen ,Belt,Snowman ,Kids,November,Santa Claus is coming to town,Christmas carols,Snowman,5golden rings ,Scissors,Shave,Ball,Acting the nativity,Happy children,Baking cookies ,Nurse,Ugly Christmas sweater party,Pine tree,3 weeks,Spend time with family,Hospital ,Christmas songs ,Angel,Elves,Easter bunny,Takes a nap,Dad,Speed around world,Mantel ,Constant noise,Mary,Silent night ,Figgy pudding ,The nativity ,Candy cane ,Drink hot cocoa,No tail lights ,Cookies ,Reindeer,His wardrobe ,Stress,Return gifts,All I want for Christmas ,Easter,Star,Read a book,Candy cane,Closet,Mrs claus,Chocolate oranges,Halloween is over
11/21/2023 19:09:00,Snow angels,St. Nick,Church ,How the Grinch Stole Christmas ,Dancer,A vacation,Vacuum Cleaner,Sugar,Carrots,Blitzen ,Hat,Snowman,Child,The week of Thanksgiving,Jingle Bells,Christmas Carols,Candy cane,Turtle Doves,Tape,Dye his beard,Ball,Christmas PJs,A massage,Addressing Christmas Cards,Nurse,Merry Christmas,Cinnamon ,2,Be with family,Hospital ,Food,Baby Jesus,Snow,The Easter Bunny,Sleeps,Spouse,How fast he can fly,Tree,The elves,Mary,Joy to the World,Cookies,‘Twas the Night Before Christmas ,Candy cane,Sleigh ride,No lights,Cookies,Pine trees,His clothes,The weather,Relax,Jingle Bells,Halloween,Lights,Sleep,Marshmallows ,Closet,Mrs. Claus,Candy Cane,Thanksgiving is over
11/21/2023 19:17:26,Ski,Chris Kringle,On the beach,A Hallmark movie,Rudolph,Hot coffee ,Underwear ,Sugar,Antacids,Comet ,Black belt,Snowflake ,Children,Saturday after Thanksgiving ,Here Comes Santa Claus,Bing Crosby,Santa,12 drummers drumming ,Tape,Wear shorts,Basketball ,Attending church service ,Sleep,Make cookies ,Doctor/Nurse,Merry Christmas ,Cinnamon ,One ,Visit with family ,Chinese restaurant ,Egg nog,Mary,Sleds,Jack Frost,Sleeps for a week,Husband,Gas mileage ,House outside ,Elves,Shepherds,Deck the Hall,Pie,‘‘Twas the night before Christmas ,Candy canes,Sleigh ride,Droppings on the road. ,Cookies,Coal,Weight,Music,Shop,All I want for Christmas ,Halloween,Angel,Take a bath,Marshmallows ,Garage,Mrs. Claus,Candy canes ,The tree is up. 
11/21/2023 19:45:34,Tubing,Saint Nicholas,Liquor store,Home Alone,Rudolf ,A new hat,Socks,Chocolate chip ,Pie,Prancer ,Hat,Snowman,Mom and dad,November 1st,Santa Claus is coming to town ,Christmas music ,Santa,5 Gold Rings,Tape,Face mask ,Stuffed animal,Matching Pajamas,Sleep,Christmas music,Nurse,Merry Christmas,Cookies baking,4,Give presents,Gas station,Egg nog,Baby Jesus,Snow,Easter bunny,Has hot chocolate ,Mom,Flying around the world,Tree,Chaos,Mary,Jingle Bells,Pie,Night before Christmas ,Candy Cane,Sledding,Speeding,Cookies and milk,Reindeer,His wardrobe ,Family,Shopping,12 days of Christmas ,Easter,Star,Make cookies,Marshmallows,Attic,The head elf,Candy cane,Thanksgiving is over
11/21/2023 20:36:18,Snow angels,Kris Kringle ,Your bedroom,The Grinch,Rudolph,Cookies,Coal,Chocolate chip,Hot cocoa,Rudolph,Hat,Snowflake,Family,Day after thanksgiving ,Jingle bells,Christmas carols,Snowflake,5 golden rings,Tape,Shave his beard,A live animal,Milk and cookies for santa,Kitchen stuff,Put up the Christmas tree,Nurse,Merry christmas,Pine,A month,Spend time with loved ones,Hospital,Eggnog,Mary,Snow,His wife,Sleeps,Brothers,His elves,Tree,The cold/snow,Wise men,We wish you a merry Christmas ,Sugar cookies,‘‘Twas the night before Christmas ,Candy cane,Baking cookies,Drinking and driving,Stockings,Reindeer ,His wardrobe,Traffic at stores,Eat leftovers,All I want for Christmas is you,Halloween,Star,Take a nap,Cinnamon ,Garage,Jack frost,Peppermint bark,Thanksgiving ends
11/21/2023 20:39:28,Snow angels,Kris Kringle,Strip club,Christmas Story,Blitzen ,A vacation,Divorce papers ,Oatmeal & raisin ,Carrots ,Dancer,Coat,Snowing ,Kids,Dec 1,Hot for teacher,A Twisted sister Christmas ,Trees,5 golden rings,Bow,Fake mustache ,Clothes ,Pajamas ,Kids not fighting,Decorate for Christmas ,Retail ,Happy Holidays ,Cheese,4,Sleep,7-11,Egg nog ,Wise men,Elves,Krampus,Sleeps,Mom or dad ,His travels,Tree,Jamaica ,Mary,Wish you a merry Christmas ,Pie,Christmas Pig,Flag,Reindeer back riding. ,Drunk driving ,Carrots,Reindeer dander,Age,Traffic,Sleep,All of them,Valentines day,Bulbs ,Spa day,Milk,Attic,Santa ,Candy cane,It’s December 
11/21/2023 20:52:26,Sledding ,Saint nick,Bathroom,Elf,Rouldolf ,Faster sleigh ,Vacuum cleaner ,Choc chip,Chocolate,Dasher,Belt,Snowman,Spouse,2 weeks before thanksgiving ,Deck the halls,Country ,Reindeer ,3 French hens ,Tape ,Shave his beard,Clothes ,Matching Christmas Jammie’s ,Clean house ,Christmas shopping ,Dr. ,Kiss,Peppermint,5,Spent time with family,Hospital ,Booze ,Mary,Santa claus,Frosty the snowman,Takes a long nap,Teenagers,How fast he delivers his presents ,Tree,Polar bears,3 wiseman,Silent night,Cookies,‘‘Twas the night before christmas,Candy cane,Ice skating ,Speeding,Cookies and milk,Milk,His clothes ,Christmas music ,Relax,Jingle bells,Easter,Angel,Make cookies,Marshmallow ,Closet,One of his elves,Candy cane,Your tree is up 
11/21/2023 20:54:31,Sled,St Nick,Grocery store,Home Alone,Cupid,Power tool,Sweater,Sugar,Bread and jelly,Prancer,Belt,Snowball,Mom,November ,I’m dreaming of a white Christmas ,Jingle bell rock,Penguin,Partridge in a pear tree,Tape,Magic,Ball,Nativity story,Clean house,Shopping,Doctor ,Merry Christmas,Pine,3,Open presents,Theater,Cookies ,Manger,Snow,Elves,Sleeps,Mother-in-law,His sleigh,Tree,Chores,Mary,Jingle bells,Pie,‘Twas the night before ,Peppermint candy,Carve wood,Speeding,Cookies,The cold,His fashion,Hustle bustle ,Watch tv,None,Mother’s Day ,Ribbon/bow,Nap,Marshmallow ,Closet shelf,Mrs Claus,Candy cane,presents are under the tree
11/21/2023 20:56:31,Snow angels,Saint Nick,On the beach ,Elf,Blitzen,Peace and quiet,Clothes too small ,Oatmeal Chocolate chip,Bourbon,Comet,Hat,Snowman,Spouse,Dec. 15,Christmas Vacation,Rap,Snowflake,Five golden rings,Paper,Shave his beard,A car,Opening presents,Silence,Listening to Christmas music,Retail,Merry Christmas ,Cinnamon ,3,Stay in pjs,Walmart,Food,The baby jesus,Reindeer,Mrs Claus,Sleeps,Boss,Beating his delivery time from year prior ,Cookies,The elves,One of the three wise men,Carol of the Bells,Chocolate Silk pie ,Twas the Night before Christmas ,Wrapping paper,Hike the gumdrop forest,Drunk driving,Cookies/milk,Holiday cheer,His address,Politics,Put decorations away,Silent Night,Valentine's day,Ornaments,Watches Soaps,Bourbon ,Closet,Mrs Claus,Candy canes,Dec. 1
11/21/2023 21:24:29,Snow angels,Chris kringle,Jail,Polar express ,Prancer,New Hat,Socks,Ginger snaps,Candy canes,Dasher,Boots,Snowman road,Kids,Thanksgiving day,Jingle bells,Rap,Lights,2 turtle doves,Tape,Wear a mustache,Candles ,The Christmas story ,Clean house,Shopping,Doctor,Happy Holidays,Cookies,3,Eat,Movie theater ,Santa,Baby Jesus ,Santa,Jack frost,Sleeps ,Co workers,How big his sack is,Cookies ,Elves,Wise men,We wish you a merry Christmas ,Peanut brittle,Christmas carol,Candy canes,Ice skating,Speeding ,Reindeer food,Reindeers,His pictures,Long lines ,Shop,I want a hippopotamus for Christmas ,Valentines day,Star,Long bubble bath,Marshmallows ,Closet,Mrs. Clause,Candy canes,It snows
11/22/2023 4:40:05,Walk,Father Christmas ,Cemetery ,It’s a wonderful life,Blitzen ,Vacation ,Bathroom scale,Sugar,Carrots,Vixen,Hat,Snowman,My children,Week after Thanksgiving ,Jingle bells,Jazz,Holly leaves ,Five golden rings,Tape,Shave,Packages wrapped in plastic ,Church,Children home for holidays ,Shopping,Nurse,Merry Christmas ,Pine,Two,Be with family ,Gas station,Food,Manger,Snow,Elves,Drinks,Adult children,Being a great boss,Yard,Elves,Mary,Silent night,Pie,The night before Christmas ,Candy cane,Sled,Reindeer,Cookies,Reindeer,Tinder ,Crowds,Shop,All I want for Christmas is you ,Thanksgiving ,Ornaments ,Watch Netflix ,Marshmallows ,Closet shelf,Mrs claus ,Candy cane,Thanksgiving ends
11/22/2023 4:46:43,Sledding,Saint Nick,Driving a car,Home Alone,Rudolph,Gift certificate for spay day,Coal,Sugar cookies,Nachos,Rudolph ,Black boots,Snow globe,Spouse,Day after Thanksgiving ,Santa clause is coming to town,Rap,Santa,Six geese a laying ,Tape,Change his outfit,Bike,Mass at church ,Slippers,Putting up Christmas decorations ,Nurse,Merry Christmas!,Live Xmas tree,3,Watch kids open presents,Drug store,Christmas music,Donkey,Elves,The elves,Sleeps,Husband ,Staying the same age,Cookies,Cold weather,Mary,Silent night,Pumpkin pie,The Night before Christmas ,Peppermint Candy ,Sleigh ride,Speeding,Cookies and milk for santa,Snow,His hair and beard,Cost of gifts ,Take returns to store,Grandma got run over by a reindeer,Your birthday,Ornament,Bake cookies,Marshmallows ,Under bed,The elves,Candy cane,The radio station plays Xmas music 24/7
11/22/2023 8:22:52,Tubing,Kris Kringle ,Funeral home ,It’s a Wonderful Life,Rudolph,Beard trimmer ,Scales,Sugar,Popcorn ,Dasher,Hat,Snowman ,Husband ,Day after Thanksgiving ,Santa Claus is Coming to Town,Classical ,Snowman ,Partridge in a pear tree ,Paper,Shave his beard,Bicycle,Caroling,Sleep,Decorating ,Nurse,Merry Christmas ,Pine ,3,Play games,Hospital,Mistletoe ,Manger,Elves,Frosty,Sleeps,Mother in law,Speed at gift delivery ,Tree,Cold,Jesus,Jingle Bells ,Cookies,How the Grinch Stole Christmas ,Candy cane,Sledding,No license plate ,Cookies and milk,Naughty children ,His style,Crowds,Sleep in,All I want for Christmas is you ,Easter,Star,Bubble bath,Whipped cream ,Closet,Mrs Claus,Candy cane,Thanksgiving is over
11/22/2023 9:01:14,Sledding ,Mr Claus ,Restaurant ,The Grinch ,Dasher ,Sleep ,Vacuum,,,Prancer ,Boots ,Snowman ,Husband ,Day after thanksgiving ,Here comes Santa Claus ,Rock and Roll ,Snowman,A partridge in a pear tree ,Scissors ,Shave his beard ,Blanket ,Open a present with pajamas ,Massage,Being nice ,Military ,Merry Christmas ,Christmas tree ,4,Open presents ,Church ,Presents ,Baby Jesus ,Elves ,Elves ,Sleeps ,Adult kids ,His sleigh ,Tree ,Santa,,Jingle Bells ,Cookies ,,Candy cane ,,Drifting ,Cookies and milk,Snow ,His outfit ,Not enough money ,Return gifts ,All of them! ,Valentine’s Day,Star,Sleep,Marshmallows ,Office ,Mrs Claus ,Candy canes ,It gets cold 
